Name,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag
"Kovanova, Mariya",KAZ,F,1988.0,WFM,2161,1847.0,1927.0,wi
"Samigullina, Diana",RUS,F,1995.0,WFM,2161,2113.0,2055.0,wi
"Otgonjargal, Sengeravdan",MGL,F,1982.0,WIM,2160,2061.0,1857.0,wi
"Tohirjonova, Hulkar",UZB,F,1991.0,WFM,2158,2162.0,2144.0,wi
"Shulakova, Svetlana",RUS,F,1977.0,WFM,2157,2077.0,1994.0,wi
"Suslova, Alena",RUS,F,1993.0,WFM,2157,2141.0,2007.0,wi
"Wang, Doudou",CHN,F,1988.0,WIM,2157,2171.0,2110.0,wi
"Bezgodova, Maria",RUS,F,1993.0,WIM,2156,2141.0,2077.0,wi
"Genova, Ruzhka",BUL,F,1963.0,WIM,2156,2246.0,2146.0,wi
"Zhorzholiani, Meri",GEO,F,1990.0,WFM,2156,2087.0,2004.0,wi
"Frizyuk, Natalia",RUS,F,1982.0,WFM,2155,2068.0,1822.0,wi
"Khorsheva, Alexandra",UKR,F,1988.0,WFM,2154,2023.0,1961.0,wi
"Salazar, Aura Cristina",COL,F,1995.0,WIM,2154,2267.0,2240.0,wi
"Zvereva, Marija",RUS,F,1978.0,WIM,2154,2113.0,2063.0,wi
"Ortiz, Nadya Karolina",COL,F,1986.0,WGM,2153,2232.0,2209.0,wi
"Sazonova, Elena N.",RUS,F,1959.0,WIM,2153,2077.0,1918.0,wi
"Montilla Reyes, Jorcerys",VEN,F,1995.0,WIM,2150,2121.0,2081.0,wi
"Sizintseva, Elena",RUS,F,1968.0,WFM,2148,2089.0,2080.0,wi
"Zykina, Nadezhda",RUS,F,1956.0,WFM,2148,2050.0,2055.0,wi
"Kopovaya, Aleksandra",RUS,F,2000.0,WFM,2147,1909.0,1869.0,wi
"Roca Rojas, Ana Flavia",CUB,F,1996.0,WIM,2147,2123.0,2234.0,wi
"Janska, Jitka",CZE,F,1999.0,WFM,2146,2075.0,1928.0,wi
"Lisovskaya, Alla",RUS,F,1959.0,WFM,2144,2065.0,2076.0,wi
"Sviridova, Vlada",RUS,F,1995.0,WFM,2144,2241.0,2101.0,wi
"Amrayeva, Aytan",AZE,F,1997.0,WFM,2143,1991.0,1939.0,wi
"Marjina, Arina",RUS,F,1999.0,WFM,2143,1953.0,1974.0,wi
"Amelina, Ekaterina",RUS,F,1985.0,WFM,2142,2035.0,1934.0,wi
"Semenova, Irina",RUS,F,1968.0,WGM,2142,2064.0,2007.0,wi
"Severiukhina, Zoja",RUS,F,1990.0,WGM,2141,2027.0,2138.0,wi
"Ustinova, Olga A.",RUS,F,1994.0,WFM,2141,2110.0,1996.0,wi
"Maslova, Polina",RUS,F,1999.0,WFM,2140,2035.0,1949.0,wi
"Geldiyeva, Mahri",TKM,F,1973.0,WGM,2139,2209.0,2163.0,wi
"Ivana Maria, Furtado",IND,F,1999.0,WIM,2139,2075.0,1974.0,wi
"Khalaji, Hanieh",IRI,F,1994.0,WFM,2138,1978.0,1969.0,wi
"Demina, Marya",RUS,F,1989.0,WFM,2137,2009.0,2044.0,wi
"Khangueva, Ayana",RUS,F,2000.0,WFM,2137,1866.0,1855.0,wi
"Pavlenko, Ksenia",RUS,F,1999.0,WFM,2136,1921.0,2110.0,wi
"Khanova, Elena",RUS,F,1967.0,WFM,2135,1996.0,2044.0,wi
"Zhigalko, Tatiana",BLR,F,1994.0,WFM,2134,2106.0,2014.0,wi
"Zepeda, Lorena",ESA,F,1984.0,WIM,2132,2086.0,2080.0,wi
"Goncharova, Natalia Olegovna",RUS,F,1961.0,WFM,2131,1579.0,1751.0,wi
"Vasiesiu, Cristina-Valeria",ROU,F,1976.0,WIM,2131,2114.0,2102.0,wi
"Tuleyeva-Aketayeva, Dana",KAZ,F,1986.0,WIM,2130,2106.0,1944.0,wi
"Kalashnikova, Nadezhda",RUS,F,1943.0,WFM,2129,1859.0,1969.0,wi
"Grigorian, Marine",RUS,F,1992.0,WFM,2127,2174.0,2057.0,wi
"Mona, Khaled",EGY,F,1994.0,WGM,2127,2139.0,2072.0,wi
